Training: 2023-10-30 11:10:51,987-rank_id: 0
Training: 2023-10-30 11:45:09,218-Speed 1117.66 samples/sec   Loss 19.6184 ArcLoss 12.6041 MSE 7.0143  Epoch: 0   Global Step: 4250   Required: 44 hours
Training: 2023-10-30 11:45:26,734-Speed 1096.21 samples/sec   Loss 19.6413 ArcLoss 12.5615 MSE 7.0798  Epoch: 0   Global Step: 4300   Required: 44 hours
Training: 2023-10-30 11:45:44,457-Speed 1083.38 samples/sec   Loss 19.7136 ArcLoss 12.6771 MSE 7.0364  Epoch: 0   Global Step: 4350   Required: 44 hours
Training: 2023-10-30 11:46:02,392-Speed 1070.58 samples/sec   Loss 19.5908 ArcLoss 12.5823 MSE 7.0085  Epoch: 0   Global Step: 4400   Required: 44 hours
Training: 2023-10-30 11:46:20,402-Speed 1066.15 samples/sec   Loss 19.2887 ArcLoss 12.3683 MSE 6.9205  Epoch: 0   Global Step: 4450   Required: 44 hours
Training: 2023-10-30 11:46:38,205-Speed 1078.58 samples/sec   Loss 19.4806 ArcLoss 12.5064 MSE 6.9742  Epoch: 0   Global Step: 4500   Required: 44 hours
Training: 2023-10-30 11:46:55,853-Speed 1087.98 samples/sec   Loss 19.2872 ArcLoss 12.3671 MSE 6.9200  Epoch: 0   Global Step: 4550   Required: 44 hours
Training: 2023-10-30 11:47:12,910-Speed 1125.72 samples/sec   Loss 19.0198 ArcLoss 12.1654 MSE 6.8545  Epoch: 0   Global Step: 4600   Required: 44 hours
Training: 2023-10-30 11:47:29,822-Speed 1135.34 samples/sec   Loss 19.0755 ArcLoss 12.2094 MSE 6.8661  Epoch: 0   Global Step: 4650   Required: 44 hours
Training: 2023-10-30 11:47:47,839-Speed 1065.70 samples/sec   Loss 19.1572 ArcLoss 12.2771 MSE 6.8801  Epoch: 0   Global Step: 4700   Required: 44 hours
Training: 2023-10-30 11:48:05,798-Speed 1069.14 samples/sec   Loss 18.9792 ArcLoss 12.1542 MSE 6.8250  Epoch: 0   Global Step: 4750   Required: 44 hours
Training: 2023-10-30 11:48:23,872-Speed 1062.41 samples/sec   Loss 18.9896 ArcLoss 12.1965 MSE 6.7932  Epoch: 0   Global Step: 4800   Required: 44 hours
Training: 2023-10-30 11:48:41,211-Speed 1107.36 samples/sec   Loss 18.8288 ArcLoss 12.0631 MSE 6.7656  Epoch: 0   Global Step: 4850   Required: 44 hours
Training: 2023-10-30 11:48:58,568-Speed 1106.22 samples/sec   Loss 18.6450 ArcLoss 11.9194 MSE 6.7256  Epoch: 0   Global Step: 4900   Required: 44 hours
Training: 2023-10-30 11:49:15,925-Speed 1106.24 samples/sec   Loss 18.6778 ArcLoss 11.9354 MSE 6.7424  Epoch: 0   Global Step: 4950   Required: 44 hours
Training: 2023-10-30 11:49:33,151-Speed 1114.70 samples/sec   Loss 18.6514 ArcLoss 11.9369 MSE 6.7145  Epoch: 0   Global Step: 5000   Required: 44 hours
Training: 2023-10-30 11:49:50,549-Speed 1103.62 samples/sec   Loss 18.4801 ArcLoss 11.8076 MSE 6.6724  Epoch: 0   Global Step: 5050   Required: 44 hours
Training: 2023-10-30 11:50:07,914-Speed 1105.70 samples/sec   Loss 18.4390 ArcLoss 11.7871 MSE 6.6520  Epoch: 0   Global Step: 5100   Required: 44 hours
Training: 2023-10-30 11:50:24,896-Speed 1130.67 samples/sec   Loss 18.4823 ArcLoss 11.8066 MSE 6.6756  Epoch: 0   Global Step: 5150   Required: 44 hours
Training: 2023-10-30 11:50:42,020-Speed 1121.34 samples/sec   Loss 18.5705 ArcLoss 11.8760 MSE 6.6946  Epoch: 0   Global Step: 5200   Required: 44 hours
Training: 2023-10-30 11:50:59,110-Speed 1123.50 samples/sec   Loss 18.3617 ArcLoss 11.7634 MSE 6.5983  Epoch: 0   Global Step: 5250   Required: 44 hours
Training: 2023-10-30 11:51:16,280-Speed 1118.30 samples/sec   Loss 18.2931 ArcLoss 11.6933 MSE 6.5998  Epoch: 0   Global Step: 5300   Required: 44 hours
Training: 2023-10-30 11:51:33,236-Speed 1132.37 samples/sec   Loss 18.2237 ArcLoss 11.6531 MSE 6.5705  Epoch: 0   Global Step: 5350   Required: 44 hours
Training: 2023-10-30 11:51:50,291-Speed 1125.84 samples/sec   Loss 18.2292 ArcLoss 11.6777 MSE 6.5515  Epoch: 0   Global Step: 5400   Required: 44 hours
